"neighbors","training_error","test_error"
1,0,9.9502487562189
2,5.96026490066225,13.9303482587065
3,12.5827814569536,11.4427860696517
4,18.5430463576159,15.4228855721393
5,19.8675496688742,14.9253731343284
6,21.1920529801325,18.9054726368159
7,22.5165562913907,16.4179104477612
8,25.8278145695364,17.910447761194
9,25.8278145695364,17.4129353233831
10,27.8145695364238,18.9054726368159
11,27.1523178807947,18.407960199005
12,26.4900662251656,16.9154228855721
13,29.8013245033113,20.3980099502488
14,28.476821192053,17.4129353233831
15,28.476821192053,19.9004975124378
16,29.1390728476821,20.3980099502488
17,27.1523178807947,17.4129353233831
18,27.1523178807947,14.4278606965174
19,28.476821192053,15.9203980099502
20,27.8145695364238,15.9203980099502
21,26.4900662251656,16.9154228855721
22,25.8278145695364,17.910447761194
23,25.8278145695364,17.910447761194
24,27.1523178807947,17.910447761194
25,29.1390728476821,17.4129353233831
