SA,100,0.00,0.00
GA,100,0.12,10.00
MIMIC,100,3.77,30.00
SA,1000,0.02,4.00
GA,1000,0.35,19.00
MIMIC,1000,32.25,72.00
SA,1100,0.03,12.00
GA,1100,0.35,13.00
MIMIC,1100,34.46,75.00
SA,1200,0.02,8.00
GA,1200,0.36,21.00
MIMIC,1200,36.48,87.00
SA,1300,0.02,13.00
GA,1300,0.37,23.00
MIMIC,1300,38.14,99.00
SA,1400,0.02,12.00
GA,1400,0.42,24.00
MIMIC,1400,39.79,92.00
SA,1500,0.03,3.00
GA,1500,0.49,22.00
MIMIC,1500,48.94,103.00
SA,1600,0.02,2.00
GA,1600,0.50,23.00
MIMIC,1600,51.44,113.00
SA,1700,0.03,6.00
GA,1700,0.51,22.00
MIMIC,1700,55.42,103.00
SA,1800,0.02,14.00
GA,1800,0.55,28.00
MIMIC,1800,57.24,108.00
SA,1900,0.02,8.00
GA,1900,0.59,25.00
MIMIC,1900,58.91,128.00
SA,200,0.01,3.00
GA,200,0.16,12.00
MIMIC,200,6.65,34.00
SA,2000,0.02,10.00
GA,2000,0.70,28.00
MIMIC,2000,59.84,103.00
SA,2100,0.04,17.00
GA,2100,0.80,23.00
MIMIC,2100,62.12,118.00
SA,2200,0.03,6.00
GA,2200,0.57,33.00
MIMIC,2200,70.88,140.00
SA,2300,0.03,11.00
GA,2300,0.57,28.00
MIMIC,2300,73.33,129.00
SA,2400,0.05,12.00
GA,2400,0.58,30.00
MIMIC,2400,77.73,142.00
SA,2500,0.02,18.00
GA,2500,0.63,39.00
MIMIC,2500,79.96,122.00
SA,2600,0.03,27.00
GA,2600,0.71,45.00
MIMIC,2600,82.03,136.00
SA,2700,0.06,11.00
GA,2700,0.66,37.00
MIMIC,2700,84.30,132.00
SA,2800,0.05,14.00
GA,2800,0.69,28.00
MIMIC,2800,85.22,139.00
SA,2900,0.07,12.00
GA,2900,0.68,46.00
MIMIC,2900,95.82,145.00
SA,300,0.01,0.00
GA,300,0.23,20.00
MIMIC,300,8.86,38.00
SA,3000,0.06,23.00
GA,3000,0.67,31.00
MIMIC,3000,95.96,155.00
SA,3100,0.04,22.00
GA,3100,0.72,25.00
MIMIC,3100,98.38,141.00
SA,3200,0.06,24.00
GA,3200,0.72,35.00
MIMIC,3200,102.55,145.00
SA,3300,0.02,21.00
GA,3300,0.75,29.00
MIMIC,3300,102.28,158.00
SA,3400,0.03,14.00
GA,3400,0.74,48.00
MIMIC,3400,106.07,142.00
SA,3500,0.05,28.00
GA,3500,0.86,31.00
MIMIC,3500,106.11,152.00
SA,3600,0.02,23.00
GA,3600,0.75,40.00
MIMIC,3600,114.96,177.00
SA,3700,0.04,14.00
GA,3700,0.83,35.00
MIMIC,3700,117.53,156.00
SA,3800,0.06,24.00
GA,3800,0.82,39.00
MIMIC,3800,124.02,165.00
SA,3900,0.06,8.00
GA,3900,0.93,39.00
MIMIC,3900,123.81,168.00
SA,400,0.01,1.00
GA,400,0.19,18.00
MIMIC,400,11.14,75.00
SA,4000,0.05,27.00
GA,4000,0.88,32.00
MIMIC,4000,127.51,145.00
SA,4100,0.04,24.00
GA,4100,0.98,41.00
MIMIC,4100,126.19,178.00
SA,4200,0.03,19.00
GA,4200,1.00,27.00
MIMIC,4200,130.90,184.00
SA,4300,0.05,22.00
GA,4300,0.97,35.00
MIMIC,4300,137.71,157.00
SA,4400,0.04,11.00
GA,4400,1.01,43.00
MIMIC,4400,142.75,161.00
SA,4500,0.04,14.00
GA,4500,1.02,41.00
MIMIC,4500,144.43,168.00
SA,4600,0.05,18.00
GA,4600,1.06,44.00
MIMIC,4600,143.20,170.00
SA,4700,0.06,24.00
GA,4700,1.01,41.00
MIMIC,4700,149.11,166.00
SA,4800,0.04,21.00
GA,4800,1.07,39.00
MIMIC,4800,147.68,185.00
SA,4900,0.05,25.00
GA,4900,1.16,49.00
MIMIC,4900,147.30,200.00
SA,500,0.01,1.00
GA,500,0.28,16.00
MIMIC,500,12.93,53.00
SA,5000,0.02,24.00
GA,5000,0.49,39.00
MIMIC,5000,81.30,176.00
SA,600,0.01,2.00
GA,600,0.26,19.00
MIMIC,600,14.47,53.00
SA,700,0.01,1.00
GA,700,0.34,22.00
MIMIC,700,16.58,50.00
SA,800,0.01,6.00
GA,800,0.30,23.00
MIMIC,800,26.39,84.00
SA,900,0.02,5.00
GA,900,0.33,27.00
MIMIC,900,29.39,58.00
SA,10000,0.02,43.00
GA,10000,1.00,56.00
MIMIC,10000,147.30,200.00
