RHC,100,0.00,0.04
SA,100,0.00,0.03
GA,100,0.17,0.04
MIMIC,100,3.92,0.08
RHC,1000,0.02,0.04
SA,1000,0.03,0.04
GA,1000,0.80,0.04
MIMIC,1000,29.61,0.12
RHC,1100,0.01,0.04
SA,1100,0.02,0.04
GA,1100,0.86,0.04
MIMIC,1100,31.61,0.09
RHC,1200,0.03,0.04
SA,1200,0.02,0.04
GA,1200,0.81,0.04
MIMIC,1200,33.54,0.11
RHC,1300,0.01,0.04
SA,1300,0.02,0.04
GA,1300,0.98,0.04
MIMIC,1300,34.85,0.11
RHC,1400,0.01,0.04
SA,1400,0.03,0.04
GA,1400,1.21,0.04
MIMIC,1400,36.41,0.12
RHC,1500,0.03,0.04
SA,1500,0.01,0.04
GA,1500,0.99,0.04
MIMIC,1500,44.05,0.12
RHC,1600,0.02,0.04
SA,1600,0.01,0.04
GA,1600,1.04,0.04
MIMIC,1600,45.86,0.12
RHC,1700,0.06,0.04
SA,1700,0.01,0.04
GA,1700,1.23,0.04
MIMIC,1700,48.53,0.12
RHC,1800,0.02,0.04
SA,1800,0.01,0.04
GA,1800,1.14,0.04
MIMIC,1800,50.40,0.12
RHC,1900,0.02,0.04
SA,1900,0.02,0.04
GA,1900,1.25,0.04
MIMIC,1900,52.17,0.11
RHC,200,0.01,0.04
SA,200,0.00,0.04
GA,200,0.23,0.04
MIMIC,200,6.58,0.09
RHC,2000,0.02,0.04
SA,2000,0.01,0.04
GA,2000,1.27,0.04
MIMIC,2000,53.56,0.13
RHC,2100,0.02,0.04
SA,2100,0.02,0.04
GA,2100,1.42,0.04
MIMIC,2100,54.38,0.11
RHC,2200,0.01,0.04
SA,2200,0.02,0.05
GA,2200,1.34,0.04
MIMIC,2200,62.76,0.11
RHC,2300,0.02,0.04
SA,2300,0.02,0.04
GA,2300,1.41,0.04
MIMIC,2300,65.85,0.13
RHC,2400,0.02,0.04
SA,2400,0.03,0.04
GA,2400,1.44,0.04
MIMIC,2400,68.24,0.10
RHC,2500,0.03,0.04
SA,2500,0.01,0.04
GA,2500,1.52,0.04
MIMIC,2500,70.08,0.12
RHC,2600,0.03,0.04
SA,2600,0.01,0.04
GA,2600,1.61,0.04
MIMIC,2600,71.24,0.11
RHC,2700,0.06,0.03
SA,2700,0.02,0.04
GA,2700,1.71,0.04
MIMIC,2700,72.37,0.12
RHC,2800,0.02,0.03
SA,2800,0.05,0.04
GA,2800,1.67,0.04
MIMIC,2800,74.39,0.12
RHC,2900,0.02,0.04
SA,2900,0.01,0.04
GA,2900,1.67,0.04
MIMIC,2900,83.95,0.14
RHC,300,0.00,0.04
SA,300,0.00,0.04
GA,300,0.31,0.04
MIMIC,300,8.50,0.09
RHC,3000,0.02,0.05
SA,3000,0.01,0.04
GA,3000,1.76,0.05
MIMIC,3000,86.15,0.13
RHC,3100,0.02,0.04
SA,3100,0.01,0.04
GA,3100,1.76,0.04
MIMIC,3100,88.60,0.12
RHC,3200,0.06,0.04
SA,3200,0.01,0.04
GA,3200,1.80,0.04
MIMIC,3200,90.44,0.13
RHC,3300,0.03,0.04
SA,3300,0.03,0.04
GA,3300,1.97,0.04
MIMIC,3300,91.82,0.11
RHC,3400,0.02,0.04
SA,3400,0.01,0.04
GA,3400,2.11,0.04
MIMIC,3400,93.41,0.13
RHC,3500,0.02,0.03
SA,3500,0.03,0.04
GA,3500,2.26,0.04
MIMIC,3500,94.59,0.11
RHC,3600,0.02,0.04
SA,3600,0.02,0.03
GA,3600,2.10,0.03
MIMIC,3600,103.59,0.12
RHC,3700,0.05,0.04
SA,3700,0.02,0.04
GA,3700,2.05,0.04
MIMIC,3700,104.93,0.13
RHC,3800,0.08,0.04
SA,3800,0.02,0.03
GA,3800,2.18,0.04
MIMIC,3800,107.06,0.12
RHC,3900,0.02,0.04
SA,3900,0.03,0.04
GA,3900,2.17,0.04
MIMIC,3900,110.19,0.11
RHC,400,0.00,0.04
SA,400,0.00,0.04
GA,400,0.39,0.04
MIMIC,400,10.53,0.09
RHC,4000,0.03,0.04
SA,4000,0.02,0.04
GA,4000,2.32,0.04
MIMIC,4000,110.92,0.14
RHC,4100,0.02,0.03
SA,4100,0.05,0.03
GA,4100,2.41,0.04
MIMIC,4100,112.28,0.12
RHC,4200,0.08,0.04
SA,4200,0.02,0.03
GA,4200,2.57,0.04
MIMIC,4200,114.63,0.12
RHC,4300,0.03,0.04
SA,4300,0.02,0.04
GA,4300,2.43,0.04
MIMIC,4300,122.36,0.12
RHC,4400,0.06,0.04
SA,4400,0.02,0.04
GA,4400,2.46,0.04
MIMIC,4400,125.58,0.15
RHC,4500,0.07,0.04
SA,4500,0.02,0.04
GA,4500,2.52,0.03
MIMIC,4500,127.59,0.13
RHC,4600,0.03,0.04
SA,4600,0.03,0.04
GA,4600,2.63,0.04
MIMIC,4600,130.65,0.12
RHC,4700,0.03,0.04
SA,4700,0.02,0.03
GA,4700,2.68,0.03
MIMIC,4700,132.47,0.11
RHC,4800,0.03,0.04
SA,4800,0.02,0.04
GA,4800,2.80,0.04
MIMIC,4800,132.65,0.13
RHC,4900,0.03,0.03
SA,4900,0.04,0.03
GA,4900,2.79,0.04
MIMIC,4900,135.42,0.12
RHC,500,0.01,0.04
SA,500,0.00,0.04
GA,500,0.44,0.04
MIMIC,500,11.99,0.10
RHC,5000,0.01,0.04
SA,5000,0.01,0.04
GA,5000,1.49,0.04
MIMIC,5000,72.01,0.12
RHC,600,0.01,0.04
SA,600,0.00,0.04
GA,600,0.58,0.04
MIMIC,600,13.30,0.11
RHC,700,0.06,0.04
SA,700,0.00,0.04
GA,700,0.68,0.04
MIMIC,700,14.78,0.10
RHC,800,0.02,0.04
SA,800,0.02,0.04
GA,800,0.60,0.04
MIMIC,800,24.82,0.11
RHC,900,0.03,0.04
SA,900,0.00,0.04
GA,900,0.59,0.04
MIMIC,900,27.36,0.11
